July 24, 2026   15:46:07
Probe Approach Curve
File: 20260724_pac_negative_insulating part_2
Data Source:  Experiment
Instrument Model:  CHI920D
Header: 
Note: 

Probe E (V) = 0.45
Sensitivity (A/V) = 1e-9
End Current Ratio (%) = 25
Max Incr (um) = 1
Withdraw Dist (um) = 50
Quiet Time (sec) = 2

Distance/um, Current/A

197.900, 3.058e-9
198.900, 3.057e-9
199.900, 3.055e-9
200.900, 3.058e-9
201.900, 3.056e-9
202.900, 3.055e-9
203.900, 3.055e-9
204.900, 3.056e-9
205.900, 3.053e-9
206.900, 3.055e-9
207.900, 3.053e-9
208.900, 3.053e-9
209.900, 3.055e-9
210.900, 3.052e-9
211.900, 3.054e-9
212.900, 3.052e-9
213.900, 3.052e-9
214.900, 3.053e-9
215.900, 3.050e-9
216.900, 3.052e-9
217.900, 3.050e-9
218.900, 3.050e-9
219.900, 3.052e-9
220.900, 3.049e-9
221.900, 3.051e-9
222.900, 3.049e-9
223.900, 3.048e-9
224.900, 3.050e-9
225.900, 3.047e-9
226.900, 3.049e-9
227.900, 3.048e-9
228.900, 3.047e-9
229.900, 3.049e-9
230.900, 3.046e-9
231.900, 3.047e-9
232.900, 3.047e-9
233.900, 3.044e-9
234.900, 3.047e-9
235.900, 3.045e-9
236.900, 3.045e-9
237.900, 3.046e-9
238.900, 3.043e-9
239.900, 3.046e-9
240.900, 3.043e-9
241.900, 3.043e-9
242.900, 3.045e-9
243.900, 3.042e-9
244.900, 3.045e-9
245.900, 3.043e-9
246.900, 3.042e-9
247.900, 3.043e-9
248.900, 3.040e-9
249.900, 3.043e-9
250.900, 3.041e-9
251.900, 3.040e-9
252.900, 3.042e-9
253.900, 3.039e-9
254.900, 3.041e-9
255.900, 3.040e-9
256.900, 3.039e-9
257.900, 3.040e-9
258.900, 3.037e-9
259.900, 3.040e-9
260.900, 3.038e-9
261.900, 3.037e-9
262.900, 3.039e-9
263.900, 3.036e-9
264.900, 3.038e-9
265.900, 3.037e-9
266.900, 3.036e-9
267.900, 3.038e-9
268.900, 3.035e-9
269.900, 3.037e-9
270.900, 3.037e-9
271.900, 3.035e-9
272.900, 3.037e-9
273.900, 3.035e-9
274.900, 3.034e-9
275.900, 3.036e-9
276.900, 3.033e-9
277.900, 3.035e-9
278.900, 3.034e-9
279.900, 3.032e-9
280.900, 3.034e-9
281.900, 3.031e-9
282.900, 3.033e-9
283.900, 3.033e-9
284.900, 3.031e-9
285.900, 3.034e-9
286.900, 3.030e-9
287.900, 3.032e-9
288.900, 3.031e-9
289.900, 3.030e-9
290.900, 3.032e-9
291.900, 3.029e-9
292.900, 3.031e-9
293.900, 3.031e-9
294.900, 3.029e-9
295.900, 3.031e-9
296.900, 3.028e-9
297.900, 3.030e-9
298.900, 3.030e-9
299.900, 3.027e-9
300.900, 3.030e-9
301.900, 3.027e-9
302.900, 3.028e-9
303.900, 3.029e-9
304.900, 3.026e-9
305.900, 3.028e-9
306.900, 3.026e-9
307.900, 3.026e-9
308.900, 3.028e-9
309.900, 3.025e-9
310.900, 3.027e-9
311.900, 3.026e-9
312.900, 3.025e-9
313.900, 3.026e-9
314.900, 3.023e-9
315.900, 3.026e-9
316.900, 3.025e-9
317.900, 3.023e-9
318.900, 3.025e-9
319.900, 3.022e-9
320.900, 3.023e-9
321.900, 3.023e-9
322.900, 3.021e-9
323.900, 3.024e-9
324.900, 3.021e-9
325.900, 3.022e-9
326.900, 3.022e-9
327.900, 3.020e-9
328.900, 3.023e-9
329.900, 3.019e-9
330.900, 3.021e-9
331.900, 3.021e-9
332.900, 3.018e-9
333.900, 3.021e-9
334.900, 3.018e-9
335.900, 3.019e-9
336.900, 3.019e-9
337.900, 3.017e-9
338.900, 3.020e-9
339.900, 3.017e-9
340.900, 3.018e-9
341.900, 3.018e-9
342.900, 3.016e-9
343.900, 3.018e-9
344.900, 3.016e-9
345.900, 3.016e-9
346.900, 3.017e-9
347.900, 3.014e-9
348.900, 3.017e-9
349.900, 3.015e-9
350.900, 3.015e-9
351.900, 3.016e-9
352.900, 3.014e-9
353.900, 3.016e-9
354.900, 3.014e-9
355.900, 3.013e-9
356.900, 3.015e-9
357.900, 3.012e-9
358.900, 3.014e-9
359.900, 3.013e-9
360.900, 3.011e-9
361.900, 3.014e-9
362.900, 3.011e-9
363.900, 3.012e-9
364.900, 3.012e-9
365.900, 3.010e-9
366.900, 3.012e-9
367.900, 3.010e-9
368.900, 3.010e-9
369.900, 3.012e-9
370.900, 3.008e-9
371.900, 3.011e-9
372.900, 3.008e-9
373.900, 3.009e-9
374.900, 3.010e-9
375.900, 3.007e-9
376.900, 3.009e-9
377.900, 3.008e-9
378.900, 3.008e-9
379.900, 3.009e-9
380.900, 3.006e-9
381.900, 3.008e-9
382.900, 3.006e-9
383.900, 3.006e-9
384.900, 3.008e-9
385.900, 3.005e-9
386.900, 3.007e-9
387.900, 3.006e-9
388.900, 3.004e-9
389.900, 3.007e-9
390.900, 3.003e-9
391.900, 3.006e-9
392.900, 3.005e-9
393.900, 3.003e-9
394.900, 3.005e-9
395.900, 3.002e-9
396.900, 3.005e-9
397.900, 3.004e-9
398.900, 3.002e-9
399.900, 3.005e-9
400.900, 3.002e-9
401.900, 3.003e-9
402.900, 3.002e-9
403.900, 3.002e-9
404.900, 3.000e-9
405.900, 3.003e-9
406.900, 3.000e-9
407.900, 3.001e-9
408.900, 3.002e-9
409.900, 2.999e-9
