July 24, 2026   15:49:15
Probe Approach Curve
File: 20260724_pac_positive_pt side_2
Data Source:  Experiment
Instrument Model:  CHI920D
Header: 
Note: 

Probe E (V) = 0.45
Sensitivity (A/V) = 1e-9
End Current Ratio (%) = 25
Max Incr (um) = 1
Withdraw Dist (um) = 50
Quiet Time (sec) = 2

Distance/um, Current/A

150.900, 3.241e-9
151.900, 3.242e-9
152.900, 3.241e-9
153.900, 3.238e-9
154.900, 3.240e-9
155.900, 3.237e-9
156.900, 3.238e-9
157.900, 3.238e-9
158.900, 3.236e-9
159.900, 3.237e-9
160.900, 3.234e-9
161.900, 3.235e-9
162.900, 3.234e-9
163.900, 3.231e-9
164.900, 3.234e-9
165.900, 3.230e-9
166.900, 3.231e-9
167.900, 3.231e-9
168.900, 3.227e-9
169.900, 3.230e-9
170.900, 3.227e-9
171.900, 3.227e-9
172.900, 3.228e-9
173.900, 3.225e-9
174.900, 3.227e-9
175.900, 3.225e-9
176.900, 3.224e-9
177.900, 3.225e-9
178.900, 3.221e-9
179.900, 3.224e-9
180.900, 3.222e-9
181.900, 3.220e-9
182.900, 3.222e-9
183.900, 3.219e-9
184.900, 3.220e-9
185.900, 3.218e-9
186.900, 3.216e-9
187.900, 3.218e-9
188.900, 3.215e-9
189.900, 3.216e-9
190.900, 3.215e-9
191.900, 3.214e-9
192.900, 3.215e-9
193.900, 3.212e-9
194.900, 3.213e-9
195.900, 3.214e-9
196.900, 3.211e-9
197.900, 3.213e-9
198.900, 3.210e-9
199.900, 3.209e-9
200.900, 3.211e-9
201.900, 3.209e-9
202.900, 3.206e-9
203.900, 3.208e-9
204.900, 3.207e-9
205.900, 3.205e-9
206.900, 3.207e-9
207.900, 3.204e-9
208.900, 3.205e-9
209.900, 3.204e-9
210.900, 3.202e-9
211.900, 3.204e-9
212.900, 3.201e-9
213.900, 3.202e-9
214.900, 3.203e-9
215.900, 3.199e-9
216.900, 3.201e-9
217.900, 3.199e-9
218.900, 3.198e-9
219.900, 3.198e-9
220.900, 3.196e-9
221.900, 3.198e-9
222.900, 3.196e-9
223.900, 3.197e-9
224.900, 3.196e-9
225.900, 3.194e-9
226.900, 3.196e-9
227.900, 3.193e-9
228.900, 3.192e-9
229.900, 3.194e-9
230.900, 3.190e-9
231.900, 3.193e-9
232.900, 3.191e-9
233.900, 3.189e-9
234.900, 3.191e-9
235.900, 3.187e-9
236.900, 3.190e-9
237.900, 3.188e-9
238.900, 3.187e-9
239.900, 3.189e-9
240.900, 3.185e-9
241.900, 3.188e-9
242.900, 3.186e-9
243.900, 3.185e-9
244.900, 3.186e-9
245.900, 3.183e-9
246.900, 3.184e-9
247.900, 3.183e-9
248.900, 3.181e-9
249.900, 3.183e-9
250.900, 3.181e-9
251.900, 3.182e-9
252.900, 3.181e-9
253.900, 3.179e-9
254.900, 3.181e-9
255.900, 3.178e-9
256.900, 3.179e-9
257.900, 3.179e-9
258.900, 3.176e-9
259.900, 3.179e-9
260.900, 3.175e-9
261.900, 3.176e-9
262.900, 3.176e-9
263.900, 3.174e-9
264.900, 3.176e-9
265.900, 3.173e-9
266.900, 3.174e-9
267.900, 3.174e-9
268.900, 3.171e-9
269.900, 3.174e-9
270.900, 3.172e-9
271.900, 3.172e-9
272.900, 3.172e-9
273.900, 3.169e-9
274.900, 3.171e-9
275.900, 3.168e-9
276.900, 3.169e-9
277.900, 3.170e-9
278.900, 3.167e-9
279.900, 3.169e-9
280.900, 3.166e-9
281.900, 3.167e-9
282.900, 3.168e-9
283.900, 3.165e-9
284.900, 3.167e-9
285.900, 3.166e-9
286.900, 3.165e-9
287.900, 3.167e-9
288.900, 3.163e-9
289.900, 3.165e-9
290.900, 3.163e-9
291.900, 3.163e-9
292.900, 3.164e-9
293.900, 3.161e-9
294.900, 3.162e-9
295.900, 3.161e-9
296.900, 3.159e-9
297.900, 3.161e-9
298.900, 3.158e-9
299.900, 3.160e-9
300.900, 3.159e-9
301.900, 3.156e-9
302.900, 3.159e-9
303.900, 3.156e-9
304.900, 3.157e-9
305.900, 3.157e-9
306.900, 3.154e-9
307.900, 3.157e-9
308.900, 3.154e-9
309.900, 3.154e-9
310.900, 3.155e-9
311.900, 3.152e-9
312.900, 3.154e-9
313.900, 3.152e-9
314.900, 3.152e-9
315.900, 3.153e-9
316.900, 3.150e-9
317.900, 3.152e-9
318.900, 3.151e-9
319.900, 3.150e-9
320.900, 3.152e-9
321.900, 3.149e-9
322.900, 3.150e-9
323.900, 3.148e-9
324.900, 3.149e-9
325.900, 3.150e-9
326.900, 3.146e-9
327.900, 3.149e-9
328.900, 3.147e-9
329.900, 3.146e-9
330.900, 3.147e-9
331.900, 3.144e-9
332.900, 3.146e-9
333.900, 3.145e-9
334.900, 3.144e-9
335.900, 3.146e-9
336.900, 3.142e-9
337.900, 3.144e-9
338.900, 3.143e-9
339.900, 3.141e-9
340.900, 3.144e-9
341.900, 3.141e-9
342.900, 3.142e-9
343.900, 3.142e-9
344.900, 3.140e-9
345.900, 3.142e-9
346.900, 3.139e-9
347.900, 3.139e-9
348.900, 3.141e-9
349.900, 3.137e-9
350.900, 3.139e-9
351.900, 3.137e-9
352.900, 3.137e-9
353.900, 3.139e-9
354.900, 3.135e-9
355.900, 3.138e-9
356.900, 3.136e-9
357.900, 3.134e-9
358.900, 3.136e-9
359.900, 3.133e-9
360.900, 3.135e-9
361.900, 3.134e-9
362.900, 3.133e-9
363.900, 3.134e-9
364.900, 3.131e-9
365.900, 3.133e-9
366.900, 3.132e-9
367.900, 3.131e-9
368.900, 3.133e-9
369.900, 3.130e-9
370.900, 3.131e-9
371.900, 3.130e-9
372.900, 3.128e-9
373.900, 3.130e-9
374.900, 3.127e-9
375.900, 3.129e-9
376.900, 3.128e-9
377.900, 3.126e-9
378.900, 3.128e-9
379.900, 3.125e-9
380.900, 3.127e-9
381.900, 3.126e-9
382.900, 3.124e-9
383.900, 3.126e-9
384.900, 3.124e-9
385.900, 3.125e-9
386.900, 3.124e-9
387.900, 3.122e-9
388.900, 3.124e-9
389.900, 3.121e-9
390.900, 3.122e-9
391.900, 3.122e-9
392.900, 3.120e-9
393.900, 3.123e-9
394.900, 3.120e-9
395.900, 3.121e-9
396.900, 3.121e-9
397.900, 3.118e-9
398.900, 3.121e-9
399.900, 3.118e-9
400.900, 3.118e-9
401.900, 3.117e-9
402.900, 3.119e-9
403.900, 3.116e-9
404.900, 3.118e-9
405.900, 3.115e-9
406.900, 3.116e-9
407.900, 3.116e-9
408.900, 3.114e-9
409.900, 3.116e-9
410.900, 3.114e-9
411.900, 3.113e-9
412.900, 3.115e-9
413.900, 3.112e-9
414.900, 3.114e-9
415.900, 3.113e-9
416.900, 3.112e-9
417.900, 3.114e-9
418.900, 3.110e-9
419.900, 3.112e-9
420.900, 3.112e-9
421.900, 3.109e-9
422.900, 3.112e-9
423.900, 3.109e-9
424.900, 3.110e-9
425.900, 3.110e-9
426.900, 3.107e-9
427.900, 3.110e-9
428.900, 3.107e-9
429.900, 3.108e-9
430.900, 3.108e-9
431.900, 3.106e-9
432.900, 3.108e-9
433.900, 3.105e-9
434.900, 3.106e-9
435.900, 3.106e-9
436.900, 3.104e-9
437.900, 3.106e-9
438.900, 3.104e-9
439.900, 3.104e-9
440.900, 3.105e-9
441.900, 3.102e-9
442.900, 3.104e-9
443.900, 3.102e-9
444.900, 3.102e-9
445.900, 3.103e-9
446.900, 3.100e-9
447.900, 3.102e-9
448.900, 3.100e-9
449.900, 3.100e-9
450.900, 3.102e-9
451.900, 3.099e-9
452.900, 3.102e-9
453.900, 3.100e-9
454.900, 3.099e-9
455.900, 3.100e-9
456.900, 3.097e-9
457.900, 3.099e-9
458.900, 3.098e-9
459.900, 3.096e-9
460.900, 3.098e-9
461.900, 3.095e-9
462.900, 3.096e-9
463.900, 3.096e-9
464.900, 3.094e-9
465.900, 3.097e-9
466.900, 3.093e-9
467.900, 3.095e-9
468.900, 3.095e-9
469.900, 3.093e-9
470.900, 3.095e-9
471.900, 3.093e-9
472.900, 3.093e-9
473.900, 3.094e-9
474.900, 3.091e-9
475.900, 3.094e-9
476.900, 3.091e-9
477.900, 3.090e-9
478.900, 3.092e-9
479.900, 3.089e-9
480.900, 3.091e-9
481.900, 3.090e-9
482.900, 3.089e-9
483.900, 3.091e-9
484.900, 3.087e-9
485.900, 3.089e-9
486.900, 3.088e-9
487.900, 3.087e-9
488.900, 3.089e-9
489.900, 3.086e-9
490.900, 3.087e-9
491.900, 3.086e-9
492.900, 3.085e-9
493.900, 3.088e-9
494.900, 3.085e-9
495.900, 3.086e-9
496.900, 3.086e-9
497.900, 3.084e-9
498.900, 3.086e-9
499.900, 3.082e-9
500.900, 3.084e-9
501.900, 3.083e-9
502.900, 3.081e-9
503.900, 3.084e-9
504.900, 3.081e-9
505.900, 3.082e-9
506.900, 3.082e-9
507.900, 3.080e-9
508.900, 3.082e-9
509.900, 3.080e-9
510.900, 3.081e-9
511.900, 3.081e-9
512.900, 3.078e-9
513.900, 3.081e-9
514.900, 3.077e-9
515.900, 3.079e-9
516.900, 3.079e-9
517.900, 3.076e-9
518.900, 3.079e-9
519.900, 3.076e-9
520.900, 3.077e-9
521.900, 3.076e-9
522.900, 3.074e-9
523.900, 3.077e-9
524.900, 3.074e-9
525.900, 3.074e-9
526.900, 3.075e-9
527.900, 3.072e-9
528.900, 3.074e-9
529.900, 3.072e-9
530.900, 3.072e-9
531.900, 3.073e-9
532.900, 3.070e-9
533.900, 3.072e-9
534.900, 3.070e-9
535.900, 3.070e-9
536.900, 3.072e-9
537.900, 3.068e-9
538.900, 3.071e-9
539.900, 3.069e-9
540.900, 3.068e-9
541.900, 3.070e-9
542.900, 3.067e-9
543.900, 3.068e-9
544.900, 3.069e-9
545.900, 3.066e-9
546.900, 3.069e-9
547.900, 3.066e-9
548.900, 3.066e-9
549.900, 3.067e-9
550.900, 3.065e-9
551.900, 3.067e-9
552.900, 3.064e-9
553.900, 3.065e-9
554.900, 3.065e-9
555.900, 3.062e-9
556.900, 3.065e-9
557.900, 3.062e-9
558.900, 3.063e-9
559.900, 3.064e-9
560.900, 3.061e-9
561.900, 3.063e-9
562.900, 3.061e-9
563.900, 3.061e-9
564.900, 3.061e-9
565.900, 3.059e-9
566.900, 3.062e-9
567.900, 3.059e-9
568.900, 3.059e-9
569.900, 3.060e-9
570.900, 3.057e-9
571.900, 3.059e-9
572.900, 3.058e-9
573.900, 3.057e-9
574.900, 3.059e-9
575.900, 3.056e-9
576.900, 3.057e-9
577.900, 3.057e-9
578.900, 3.055e-9
579.900, 3.057e-9
580.900, 3.055e-9
581.900, 3.056e-9
582.900, 3.055e-9
583.900, 3.053e-9
584.900, 3.055e-9
585.900, 3.053e-9
586.900, 3.055e-9
587.900, 3.054e-9
588.900, 3.052e-9
589.900, 3.055e-9
590.900, 3.051e-9
591.900, 3.053e-9
592.900, 3.052e-9
593.900, 3.050e-9
594.900, 3.053e-9
595.900, 3.050e-9
596.900, 3.050e-9
597.900, 3.051e-9
598.900, 3.048e-9
599.900, 3.050e-9
600.900, 3.048e-9
601.900, 3.048e-9
602.900, 3.049e-9
603.900, 3.046e-9
604.900, 3.049e-9
605.900, 3.046e-9
606.900, 3.046e-9
607.900, 3.047e-9
608.900, 3.044e-9
609.900, 3.046e-9
610.900, 3.046e-9
611.900, 3.043e-9
612.900, 3.046e-9
613.900, 3.043e-9
614.900, 3.044e-9
615.900, 3.044e-9
616.900, 3.042e-9
617.900, 3.044e-9
618.900, 3.042e-9
619.900, 3.042e-9
620.900, 3.043e-9
621.900, 3.040e-9
622.900, 3.042e-9
623.900, 3.041e-9
624.900, 3.040e-9
625.900, 3.042e-9
626.900, 3.038e-9
627.900, 3.041e-9
628.900, 3.039e-9
629.900, 3.038e-9
630.900, 3.040e-9
631.900, 3.037e-9
632.900, 3.038e-9
633.900, 3.037e-9
634.900, 3.036e-9
635.900, 3.038e-9
636.900, 3.035e-9
637.900, 3.036e-9
638.900, 3.035e-9
639.900, 3.034e-9
640.900, 3.036e-9
641.900, 3.033e-9
642.900, 3.034e-9
643.900, 3.034e-9
644.900, 3.032e-9
645.900, 3.035e-9
646.900, 3.031e-9
647.900, 3.033e-9
648.900, 3.032e-9
649.900, 3.031e-9
650.900, 3.033e-9
651.900, 3.030e-9
652.900, 3.031e-9
653.900, 3.031e-9
654.900, 3.029e-9
655.900, 3.031e-9
656.900, 3.028e-9
657.900, 3.029e-9
658.900, 3.030e-9
659.900, 3.027e-9
660.900, 3.029e-9
661.900, 3.027e-9
662.900, 3.027e-9
663.900, 3.028e-9
664.900, 3.025e-9
665.900, 3.027e-9
666.900, 3.026e-9
667.900, 3.025e-9
668.900, 3.027e-9
669.900, 3.024e-9
670.900, 3.026e-9
671.900, 3.024e-9
672.900, 3.024e-9
673.900, 3.025e-9
674.900, 3.022e-9
675.900, 3.024e-9
676.900, 3.022e-9
677.900, 3.021e-9
678.900, 3.023e-9
679.900, 3.020e-9
