0.01	76.57442
0.025	31.07677
0.05	15.91088
0.075	10.85558
0.1	8.32794
0.15	5.80029
0.2	4.53652
0.25	3.77845
0.3	3.2735
0.35	2.91347
0.4	2.64423
0.45	2.43568
0.5	2.2697
0.55	2.13474
0.6	2.02305
0.65	1.92926
0.7	1.84952
0.75	1.781
0.8	1.72156
0.85	1.66959
0.9	1.6238
0.95	1.58321
1	1.54701
1.05	1.51455
1.1	1.4853
1.15	1.45883
1.2	1.43478
1.25	1.41284
1.3	1.39277
1.35	1.37433
1.4	1.35735
1.45	1.34166
1.5	1.32714
1.55	1.31366
1.6	1.30111
1.65	1.28941
1.7	1.27848
1.75	1.26824
1.8	1.25864
1.85	1.24962
1.9	1.24113
1.95	1.23312
2	1.22557
2.05	1.21842
2.1	1.21166
2.15	1.20525
2.2	1.19916
2.25	1.19338
2.3	1.18788
2.35	1.18264
2.4	1.17765
2.45	1.17288
2.5	1.16833
2.55	1.16398
2.6	1.15981
2.65	1.15582
2.7	1.152
2.75	1.14833
2.8	1.14481
2.85	1.14142
2.9	1.13817
2.95	1.13504
3	1.13203
3.05	1.12912
3.1	1.12633
3.15	1.12363
3.2	1.12102
3.25	1.11851
3.3	1.11607
3.35	1.11372
3.4	1.11145
3.45	1.10925
3.5	1.10712
3.55	1.10506
3.6	1.10306
3.65	1.10112
3.7	1.09924
3.75	1.09742
3.8	1.09565
3.85	1.09393
3.9	1.09226
3.95	1.09063
4	1.08905
4.05	1.08752
4.1	1.08602
4.15	1.08457
4.2	1.08315
4.25	1.08177
4.3	1.08043
4.35	1.07912
4.4	1.07784
4.45	1.0766
4.5	1.07538
4.55	1.0742
4.6	1.07304
4.65	1.07191
4.7	1.07081
4.75	1.06973
4.8	1.06868
4.85	1.06765
4.9	1.06665
4.95	1.06566
5	1.0647
5.2	1.06106
5.4	1.05771
5.6	1.05462
5.8	1.05177
6	1.04912
6.2	1.04666
6.4	1.04437
6.6	1.04222
6.8	1.04022
7	1.03834
7.2	1.03657
7.4	1.0349
7.6	1.03333
7.8	1.03184
8	1.03044
8.2	1.02911
8.4	1.02785
8.6	1.02665
8.8	1.0255
9	1.02442
9.2	1.02338
9.4	1.02239
9.6	1.02145
9.8	1.02054
10	1.01968
10.5	1.01767
11	1.01585
11.5	1.0142
12	1.0127
12.5	1.01132
13	1.01005
13.5	1.00889
14	1.00781
14.5	1.00681
15	1.00588
15.5	1.00501
16	1.0042
16.5	1.00344
17	1.00272
17.5	1.00205
18	1.00142
18.5	1.00082
19	1.00026
19.5	0.99973
20	0.99922
20.5	0.99874
21	0.99828
21.5	0.99785
22	0.99743
22.5	0.99704
23	0.99666
23.5	0.9963
24	0.99596
24.5	0.99563
25	0.99531
25.5	0.99501
26	0.99471
26.5	0.99443
27	0.99416
27.5	0.9939
28	0.99365
28.5	0.99341
29	0.99318
29.5	0.99295
30	0.99274
31	0.99232
32	0.99194
33	0.99158
34	0.99124
35	0.99092
36	0.99061
37	0.99033
38	0.99006
39	0.9898
40	0.98956
45	0.98851
50	0.98767
