May 26, 2026   14:13:12
Probe Approach Curve
File: c:\users\secm-account\desktop\data\katarina\20260526\pacs_glass_2.txt
Data Source:  Experiment
Instrument Model:  CHI920D
Header: 
Note: 

Probe E (V) = 0.4
Sensitivity (A/V) = 1e-9
End Current Ratio (%) = 25
Max Incr (um) = 1
Withdraw Dist (um) = 50
Quiet Time (sec) = 2

Distance/um, Current/A

-49.100, -2.197e-9
-48.100, -2.182e-9
-47.100, -2.173e-9
-46.100, -2.164e-9
-45.100, -2.157e-9
-44.100, -2.148e-9
-43.100, -2.143e-9
-42.100, -2.138e-9
-41.100, -2.131e-9
-40.100, -2.124e-9
-39.100, -2.118e-9
-38.100, -2.112e-9
-37.100, -2.106e-9
-36.100, -2.099e-9
-35.100, -2.096e-9
-34.100, -2.091e-9
-33.100, -2.088e-9
-32.100, -2.085e-9
-31.100, -2.080e-9
-30.100, -2.074e-9
-29.100, -2.070e-9
-28.100, -2.067e-9
-27.100, -2.062e-9
-26.100, -2.055e-9
-25.100, -2.052e-9
-24.100, -2.051e-9
-23.100, -2.046e-9
-22.100, -2.042e-9
-21.100, -2.037e-9
-20.100, -2.035e-9
-19.100, -2.032e-9
-18.100, -2.030e-9
-17.100, -2.027e-9
-16.100, -2.020e-9
-15.100, -2.018e-9
-14.100, -2.014e-9
-13.100, -2.014e-9
-12.100, -2.009e-9
-11.100, -2.004e-9
-10.100, -2.000e-9
-9.100, -1.996e-9
-8.100, -1.995e-9
-7.100, -1.993e-9
-6.100, -1.988e-9
-5.100, -1.986e-9
-4.100, -1.983e-9
-3.100, -1.982e-9
-2.100, -1.981e-9
-1.100, -1.977e-9
-0.100, -1.974e-9
0.900, -1.971e-9
1.900, -1.968e-9
2.900, -1.967e-9
3.900, -1.965e-9
4.900, -1.964e-9
5.900, -1.962e-9
6.900, -1.960e-9
7.900, -1.959e-9
8.900, -1.956e-9
9.900, -1.953e-9
10.900, -1.950e-9
11.900, -1.946e-9
12.900, -1.946e-9
13.900, -1.943e-9
14.900, -1.944e-9
15.900, -1.943e-9
16.900, -1.941e-9
17.900, -1.938e-9
18.900, -1.933e-9
19.900, -1.931e-9
20.900, -1.930e-9
21.900, -1.930e-9
22.900, -1.930e-9
23.900, -1.929e-9
24.900, -1.929e-9
25.900, -1.929e-9
26.900, -1.924e-9
27.900, -1.921e-9
28.900, -1.919e-9
29.900, -1.917e-9
30.900, -1.915e-9
31.900, -1.912e-9
32.900, -1.911e-9
33.900, -1.910e-9
34.900, -1.908e-9
35.900, -1.908e-9
36.900, -1.907e-9
37.900, -1.906e-9
38.900, -1.906e-9
39.900, -1.905e-9
40.900, -1.905e-9
41.900, -1.902e-9
42.900, -1.900e-9
43.900, -1.899e-9
44.900, -1.896e-9
45.900, -1.897e-9
46.900, -1.895e-9
47.900, -1.893e-9
48.900, -1.892e-9
49.900, -1.890e-9
50.900, -1.891e-9
51.900, -1.888e-9
52.900, -1.887e-9
53.900, -1.888e-9
54.900, -1.890e-9
55.900, -1.886e-9
56.900, -1.885e-9
57.900, -1.881e-9
58.900, -1.879e-9
59.900, -1.878e-9
60.900, -1.878e-9
61.900, -1.877e-9
62.900, -1.876e-9
63.900, -1.873e-9
64.900, -1.871e-9
65.900, -1.870e-9
66.900, -1.870e-9
67.900, -1.868e-9
68.900, -1.866e-9
69.900, -1.867e-9
70.900, -1.865e-9
71.900, -1.864e-9
72.900, -1.863e-9
73.900, -1.862e-9
74.900, -1.863e-9
75.900, -1.861e-9
76.900, -1.862e-9
77.900, -1.861e-9
78.900, -1.857e-9
79.900, -1.855e-9
80.900, -1.853e-9
81.900, -1.854e-9
82.900, -1.855e-9
83.900, -1.855e-9
84.900, -1.858e-9
85.900, -1.853e-9
86.900, -1.851e-9
87.900, -1.853e-9
88.900, -1.853e-9
89.900, -1.852e-9
90.900, -1.850e-9
91.900, -1.850e-9
92.900, -1.847e-9
93.900, -1.845e-9
94.900, -1.845e-9
95.900, -1.844e-9
96.900, -1.845e-9
97.900, -1.846e-9
98.900, -1.844e-9
99.900, -1.845e-9
100.900, -1.841e-9
101.900, -1.840e-9
102.900, -1.839e-9
103.900, -1.838e-9
104.900, -1.837e-9
105.900, -1.837e-9
106.900, -1.836e-9
107.900, -1.835e-9
108.900, -1.833e-9
109.900, -1.831e-9
110.900, -1.832e-9
111.900, -1.831e-9
112.900, -1.830e-9
113.900, -1.831e-9
114.900, -1.828e-9
115.900, -1.828e-9
116.900, -1.826e-9
117.900, -1.824e-9
118.900, -1.824e-9
119.900, -1.823e-9
120.900, -1.824e-9
121.900, -1.824e-9
122.900, -1.825e-9
123.900, -1.824e-9
124.900, -1.821e-9
125.900, -1.821e-9
126.900, -1.820e-9
127.900, -1.820e-9
128.900, -1.821e-9
129.900, -1.819e-9
130.900, -1.820e-9
131.900, -1.820e-9
132.900, -1.817e-9
133.900, -1.816e-9
134.900, -1.815e-9
135.900, -1.814e-9
136.900, -1.814e-9
137.900, -1.812e-9
138.900, -1.813e-9
139.900, -1.811e-9
140.900, -1.810e-9
141.900, -1.809e-9
142.900, -1.808e-9
143.900, -1.809e-9
144.900, -1.810e-9
145.900, -1.812e-9
146.900, -1.812e-9
147.900, -1.811e-9
148.900, -1.810e-9
149.900, -1.807e-9
150.900, -1.806e-9
151.900, -1.806e-9
152.900, -1.805e-9
153.900, -1.805e-9
154.900, -1.804e-9
155.900, -1.804e-9
156.900, -1.806e-9
157.900, -1.807e-9
158.900, -1.806e-9
159.900, -1.804e-9
160.900, -1.802e-9
161.900, -1.801e-9
162.900, -1.800e-9
163.900, -1.801e-9
164.900, -1.801e-9
165.900, -1.802e-9
166.900, -1.804e-9
167.900, -1.802e-9
168.900, -1.801e-9
169.900, -1.799e-9
170.900, -1.796e-9
171.900, -1.796e-9
172.900, -1.796e-9
173.900, -1.794e-9
174.900, -1.795e-9
175.900, -1.795e-9
176.900, -1.797e-9
177.900, -1.797e-9
178.900, -1.795e-9
179.900, -1.794e-9
180.900, -1.792e-9
181.900, -1.792e-9
182.900, -1.791e-9
183.900, -1.791e-9
184.900, -1.791e-9
185.900, -1.792e-9
186.900, -1.795e-9
187.900, -1.795e-9
188.900, -1.794e-9
189.900, -1.793e-9
190.900, -1.790e-9
191.900, -1.790e-9
192.900, -1.789e-9
193.900, -1.788e-9
194.900, -1.787e-9
195.900, -1.786e-9
196.900, -1.787e-9
197.900, -1.786e-9
198.900, -1.784e-9
199.900, -1.784e-9
200.900, -1.783e-9
201.900, -1.784e-9
202.900, -1.784e-9
203.900, -1.784e-9
204.900, -1.784e-9
205.900, -1.783e-9
206.900, -1.779e-9
207.900, -1.778e-9
208.900, -1.777e-9
209.900, -1.776e-9
210.900, -1.776e-9
211.900, -1.774e-9
212.900, -1.775e-9
213.900, -1.775e-9
214.900, -1.774e-9
215.900, -1.775e-9
216.900, -1.776e-9
217.900, -1.778e-9
218.900, -1.779e-9
219.900, -1.777e-9
220.900, -1.778e-9
221.900, -1.775e-9
222.900, -1.775e-9
223.900, -1.775e-9
224.900, -1.775e-9
225.900, -1.777e-9
226.900, -1.776e-9
227.900, -1.773e-9
228.900, -1.773e-9
229.900, -1.773e-9
230.900, -1.774e-9
231.900, -1.775e-9
232.900, -1.773e-9
233.900, -1.773e-9
234.900, -1.770e-9
235.900, -1.771e-9
236.900, -1.770e-9
237.900, -1.770e-9
238.900, -1.771e-9
239.900, -1.771e-9
240.900, -1.770e-9
241.900, -1.769e-9
242.900, -1.768e-9
243.900, -1.769e-9
244.900, -1.767e-9
245.900, -1.768e-9
