# Sensolytics: 3.12
# Line Scan
# Warning: the data-format is using a '.' as decimal sign. German Windows-systems may have problems with this...
# Experiment started: 5/8/2025 3:02:36 PM
# Stepper motors position: X 14,029.400 µm; Y 9,891.000 µm; Z 8,391.499 µm
# Piezo controller position: X 0.000 µm; Y 100.000 µm; Z 100.000 µm
# Potentiostat: ECD Off
# Potential WE1 at start [V]: 0.400
# Potential WE2 at start: OCP
# Controller: PCIe LStep Express
# Axis: ZAxis
# Direction: Negative
# Way [µm]: 5000
# Max. Speed [µm/s]: 1
# Increment [µm]: 0.5
# Waiting Time [ms]: 0
# Stop Condition: Manual
# Position abs. [µm], Position rel. [µm], I WE1 [A]
8425.999, -65.500, 4.32220458984375E-09
8425.499, -66.000, 4.322509765625E-09
8424.999, -66.500, 4.3212890625E-09
8424.499, -67.000, 4.3212890625E-09
8423.999, -67.500, 4.3218994140625E-09
8423.499, -68.000, 4.32220458984375E-09
8422.999, -68.500, 4.322509765625E-09
8422.499, -69.000, 4.32159423828125E-09
8421.999, -69.500, 4.32220458984375E-09
8421.499, -70.000, 4.32037353515625E-09
8420.999, -70.500, 4.32220458984375E-09
8420.499, -71.000, 4.32281494140625E-09
8419.999, -71.500, 4.31976318359375E-09
8419.499, -72.000, 4.3212890625E-09
8418.999, -72.500, 4.32098388671875E-09
8418.499, -73.000, 4.3206787109375E-09
8417.999, -73.500, 4.320068359375E-09
8417.499, -74.000, 4.32037353515625E-09
8416.999, -74.500, 4.32098388671875E-09
8416.499, -75.000, 4.32098388671875E-09
8415.999, -75.500, 4.3206787109375E-09
8415.499, -76.000, 4.320068359375E-09
8414.999, -76.500, 4.32159423828125E-09
8414.499, -77.000, 4.32037353515625E-09
8413.999, -77.500, 4.32098388671875E-09
8413.499, -78.000, 4.3218994140625E-09
8412.999, -78.500, 4.31976318359375E-09
8412.499, -79.000, 4.31884765625E-09
8411.999, -79.500, 4.3212890625E-09
8411.499, -80.000, 4.31976318359375E-09
8410.999, -80.500, 4.32098388671875E-09
8410.499, -81.000, 4.32037353515625E-09
8409.999, -81.500, 4.31976318359375E-09
8409.499, -82.000, 4.320068359375E-09
8408.999, -82.500, 4.31915283203125E-09
8408.499, -83.000, 4.3206787109375E-09
8407.999, -83.500, 4.3206787109375E-09
8407.499, -84.000, 4.31884765625E-09
8406.999, -84.500, 4.3206787109375E-09
8406.499, -85.000, 4.3206787109375E-09
8405.999, -85.500, 4.3182373046875E-09
8405.499, -86.000, 4.31884765625E-09
8404.999, -86.500, 4.320068359375E-09
8404.499, -87.000, 4.31793212890625E-09
8403.999, -87.500, 4.317626953125E-09
8403.499, -88.000, 4.31793212890625E-09
8402.999, -88.500, 4.31793212890625E-09
8402.499, -89.000, 4.31854248046875E-09
8401.999, -89.500, 4.3182373046875E-09
