# Sensolytics: 3.12
# Line Scan
# Warning: the data-format is using a '.' as decimal sign. German Windows-systems may have problems with this...
# Experiment started: 5/8/2025 2:52:06 PM
# Stepper motors position: X 13,929.400 µm; Y 9,891.000 µm; Z 8,392.999 µm
# Piezo controller position: X 0.000 µm; Y 100.000 µm; Z 100.000 µm
# Potentiostat: ECD Off
# Potential WE1 at start [V]: 0.400
# Potential WE2 at start: OCP
# Controller: PCIe LStep Express
# Axis: ZAxis
# Direction: Negative
# Way [µm]: 5000
# Max. Speed [µm/s]: 1
# Increment [µm]: 0.5
# Waiting Time [ms]: 0
# Stop Condition: Manual
# Position abs. [µm], Position rel. [µm], I WE1 [A]
8492.999, 0.000, 4.42657470703125E-09
8492.499, -0.500, 4.42352294921875E-09
8491.999, -1.000, 4.42138671875E-09
8491.499, -1.500, 4.4244384765625E-09
8490.999, -2.000, 4.4207763671875E-09
8490.499, -2.500, 4.42047119140625E-09
8489.999, -3.000, 4.41925048828125E-09
8489.499, -3.500, 4.41864013671875E-09
8488.999, -4.000, 4.4195556640625E-09
8488.499, -4.500, 4.41925048828125E-09
8487.999, -5.000, 4.4195556640625E-09
8487.499, -5.500, 4.41802978515625E-09
8486.999, -6.000, 4.41619873046875E-09
8486.499, -6.500, 4.415283203125E-09
8485.999, -7.000, 4.4158935546875E-09
8485.499, -7.500, 4.41680908203125E-09
8484.999, -8.000, 4.415283203125E-09
8484.499, -8.500, 4.41497802734375E-09
8483.999, -9.000, 4.4140625E-09
8483.499, -9.500, 4.4140625E-09
8482.999, -10.000, 4.41314697265625E-09
8482.499, -10.500, 4.41314697265625E-09
8481.999, -11.000, 4.412841796875E-09
8481.499, -11.500, 4.4097900390625E-09
8480.999, -12.000, 4.41131591796875E-09
8480.499, -12.500, 4.4122314453125E-09
8479.999, -13.000, 4.41131591796875E-09
8479.499, -13.500, 4.41070556640625E-09
8478.999, -14.000, 4.41009521484375E-09
8478.499, -14.500, 4.4097900390625E-09
8477.999, -15.000, 4.410400390625E-09
8477.499, -15.500, 4.40826416015625E-09
8476.999, -16.000, 4.4097900390625E-09
8476.499, -16.500, 4.40887451171875E-09
8475.999, -17.000, 4.4091796875E-09
8475.499, -17.500, 4.40887451171875E-09
8474.999, -18.000, 4.4085693359375E-09
8474.499, -18.500, 4.40765380859375E-09
8473.999, -19.000, 4.405517578125E-09
8473.499, -19.500, 4.4073486328125E-09
8472.999, -20.000, 4.40582275390625E-09
8472.499, -20.500, 4.40460205078125E-09
8471.999, -21.000, 4.40673828125E-09
8471.499, -21.500, 4.40582275390625E-09
8470.999, -22.000, 4.4049072265625E-09
8470.499, -22.500, 4.40460205078125E-09
8469.999, -23.000, 4.40338134765625E-09
8469.499, -23.500, 4.40399169921875E-09
8468.999, -24.000, 4.40277099609375E-09
8468.499, -24.500, 4.40338134765625E-09
8467.999, -25.000, 4.403076171875E-09
8467.499, -25.500, 4.40338134765625E-09
8466.999, -26.000, 4.4036865234375E-09
8466.499, -26.500, 4.404296875E-09
