May 26, 2026   15:31:05
Probe Approach Curve
File: c:\users\secm-account\desktop\data\katarina\20260526\pacs_au _1.txt
Data Source:  Experiment
Instrument Model:  CHI920D
Header: 
Note: 

Probe E (V) = 0.45
Sensitivity (A/V) = 1e-9
End Current Ratio (%) = 25
Max Incr (um) = 1
Withdraw Dist (um) = 50
Quiet Time (sec) = 2

Distance/um, Current/A

430.900, -1.945e-9
431.900, -1.945e-9
432.900, -1.945e-9
433.900, -1.944e-9
434.900, -1.945e-9
435.900, -1.944e-9
436.900, -1.943e-9
437.900, -1.944e-9
438.900, -1.942e-9
439.900, -1.944e-9
440.900, -1.943e-9
441.900, -1.943e-9
442.900, -1.943e-9
443.900, -1.942e-9
444.900, -1.943e-9
445.900, -1.942e-9
446.900, -1.941e-9
447.900, -1.942e-9
448.900, -1.941e-9
449.900, -1.941e-9
450.900, -1.941e-9
451.900, -1.940e-9
452.900, -1.941e-9
453.900, -1.940e-9
454.900, -1.940e-9
455.900, -1.940e-9
456.900, -1.939e-9
457.900, -1.940e-9
458.900, -1.939e-9
459.900, -1.939e-9
460.900, -1.940e-9
461.900, -1.939e-9
462.900, -1.940e-9
463.900, -1.939e-9
464.900, -1.938e-9
465.900, -1.940e-9
466.900, -1.938e-9
467.900, -1.939e-9
468.900, -1.939e-9
469.900, -1.938e-9
470.900, -1.938e-9
471.900, -1.937e-9
472.900, -1.937e-9
473.900, -1.937e-9
474.900, -1.936e-9
475.900, -1.936e-9
476.900, -1.936e-9
477.900, -1.937e-9
478.900, -1.937e-9
479.900, -1.936e-9
480.900, -1.937e-9
481.900, -1.936e-9
482.900, -1.935e-9
483.900, -1.935e-9
484.900, -1.934e-9
485.900, -1.935e-9
486.900, -1.935e-9
487.900, -1.934e-9
488.900, -1.935e-9
489.900, -1.933e-9
490.900, -1.934e-9
491.900, -1.934e-9
492.900, -1.933e-9
493.900, -1.934e-9
494.900, -1.933e-9
495.900, -1.933e-9
496.900, -1.933e-9
497.900, -1.932e-9
498.900, -1.933e-9
499.900, -1.932e-9
500.900, -1.933e-9
501.900, -1.933e-9
502.900, -1.932e-9
503.900, -1.933e-9
504.900, -1.932e-9
505.900, -1.932e-9
506.900, -1.933e-9
507.900, -1.931e-9
508.900, -1.931e-9
509.900, -1.931e-9
510.900, -1.931e-9
511.900, -1.932e-9
512.900, -1.930e-9
513.900, -1.931e-9
514.900, -1.931e-9
515.900, -1.929e-9
516.900, -1.930e-9
517.900, -1.929e-9
518.900, -1.929e-9
519.900, -1.930e-9
520.900, -1.929e-9
521.900, -1.929e-9
522.900, -1.929e-9
523.900, -1.929e-9
524.900, -1.929e-9
525.900, -1.928e-9
526.900, -1.929e-9
527.900, -1.928e-9
528.900, -1.928e-9
529.900, -1.930e-9
530.900, -1.928e-9
531.900, -1.929e-9
532.900, -1.928e-9
533.900, -1.928e-9
534.900, -1.929e-9
535.900, -1.927e-9
536.900, -1.928e-9
537.900, -1.928e-9
538.900, -1.927e-9
539.900, -1.928e-9
540.900, -1.927e-9
541.900, -1.927e-9
542.900, -1.927e-9
543.900, -1.926e-9
544.900, -1.927e-9
545.900, -1.926e-9
546.900, -1.927e-9
547.900, -1.927e-9
548.900, -1.926e-9
549.900, -1.927e-9
550.900, -1.926e-9
551.900, -1.926e-9
552.900, -1.926e-9
553.900, -1.925e-9
554.900, -1.926e-9
555.900, -1.926e-9
556.900, -1.925e-9
557.900, -1.925e-9
558.900, -1.924e-9
559.900, -1.925e-9
560.900, -1.924e-9
561.900, -1.923e-9
562.900, -1.924e-9
563.900, -1.923e-9
564.900, -1.924e-9
565.900, -1.924e-9
566.900, -1.923e-9
567.900, -1.924e-9
568.900, -1.923e-9
569.900, -1.923e-9
570.900, -1.923e-9
571.900, -1.922e-9
572.900, -1.923e-9
573.900, -1.922e-9
574.900, -1.923e-9
575.900, -1.924e-9
576.900, -1.923e-9
577.900, -1.924e-9
578.900, -1.923e-9
579.900, -1.922e-9
580.900, -1.923e-9
581.900, -1.922e-9
582.900, -1.922e-9
583.900, -1.921e-9
584.900, -1.920e-9
585.900, -1.921e-9
586.900, -1.920e-9
587.900, -1.921e-9
588.900, -1.921e-9
589.900, -1.920e-9
590.900, -1.921e-9
591.900, -1.920e-9
592.900, -1.920e-9
593.900, -1.920e-9
594.900, -1.919e-9
595.900, -1.921e-9
596.900, -1.919e-9
597.900, -1.920e-9
598.900, -1.920e-9
599.900, -1.919e-9
600.900, -1.921e-9
601.900, -1.919e-9
602.900, -1.919e-9
603.900, -1.919e-9
604.900, -1.918e-9
605.900, -1.919e-9
606.900, -1.918e-9
607.900, -1.919e-9
608.900, -1.919e-9
609.900, -1.918e-9
610.900, -1.919e-9
611.900, -1.918e-9
612.900, -1.917e-9
613.900, -1.917e-9
614.900, -1.916e-9
615.900, -1.918e-9
616.900, -1.917e-9
617.900, -1.916e-9
618.900, -1.917e-9
619.900, -1.916e-9
620.900, -1.917e-9
621.900, -1.917e-9
622.900, -1.916e-9
623.900, -1.917e-9
624.900, -1.916e-9
625.900, -1.916e-9
626.900, -1.916e-9
627.900, -1.915e-9
628.900, -1.916e-9
629.900, -1.915e-9
630.900, -1.915e-9
631.900, -1.916e-9
632.900, -1.914e-9
633.900, -1.915e-9
634.900, -1.915e-9
635.900, -1.915e-9
636.900, -1.915e-9
637.900, -1.914e-9
638.900, -1.914e-9
639.900, -1.913e-9
640.900, -1.913e-9
641.900, -1.915e-9
642.900, -1.913e-9
643.900, -1.914e-9
644.900, -1.914e-9
645.900, -1.913e-9
646.900, -1.914e-9
647.900, -1.913e-9
648.900, -1.914e-9
649.900, -1.914e-9
650.900, -1.912e-9
651.900, -1.914e-9
652.900, -1.913e-9
653.900, -1.913e-9
654.900, -1.913e-9
655.900, -1.912e-9
656.900, -1.913e-9
657.900, -1.913e-9
658.900, -1.913e-9
659.900, -1.913e-9
660.900, -1.913e-9
661.900, -1.914e-9
662.900, -1.914e-9
663.900, -1.913e-9
664.900, -1.914e-9
665.900, -1.912e-9
666.900, -1.913e-9
667.900, -1.913e-9
668.900, -1.912e-9
669.900, -1.913e-9
670.900, -1.912e-9
671.900, -1.912e-9
672.900, -1.913e-9
673.900, -1.912e-9
674.900, -1.913e-9
675.900, -1.912e-9
676.900, -1.911e-9
677.900, -1.912e-9
678.900, -1.910e-9
679.900, -1.911e-9
680.900, -1.911e-9
681.900, -1.911e-9
682.900, -1.911e-9
683.900, -1.909e-9
684.900, -1.910e-9
685.900, -1.910e-9
686.900, -1.909e-9
687.900, -1.910e-9
688.900, -1.909e-9
689.900, -1.909e-9
690.900, -1.910e-9
691.900, -1.908e-9
692.900, -1.909e-9
693.900, -1.909e-9
694.900, -1.909e-9
695.900, -1.909e-9
696.900, -1.908e-9
697.900, -1.909e-9
698.900, -1.908e-9
699.900, -1.908e-9
700.900, -1.909e-9
701.900, -1.907e-9
702.900, -1.908e-9
703.900, -1.908e-9
704.900, -1.908e-9
705.900, -1.909e-9
706.900, -1.907e-9
707.900, -1.908e-9
708.900, -1.908e-9
709.900, -1.907e-9
710.900, -1.908e-9
711.900, -1.907e-9
712.900, -1.908e-9
713.900, -1.907e-9
714.900, -1.907e-9
715.900, -1.908e-9
716.900, -1.907e-9
717.900, -1.908e-9
718.900, -1.907e-9
719.900, -1.906e-9
720.900, -1.907e-9
721.900, -1.906e-9
722.900, -1.907e-9
723.900, -1.907e-9
724.900, -1.906e-9
725.900, -1.907e-9
726.900, -1.906e-9
727.900, -1.906e-9
728.900, -1.906e-9
729.900, -1.905e-9
730.900, -1.906e-9
731.900, -1.905e-9
732.900, -1.905e-9
733.900, -1.905e-9
734.900, -1.904e-9
735.900, -1.905e-9
736.900, -1.904e-9
737.900, -1.905e-9
738.900, -1.906e-9
739.900, -1.905e-9
740.900, -1.907e-9
741.900, -1.906e-9
