May 26, 2026   14:18:38
Probe Approach Curve
File: c:\users\secm-account\desktop\data\katarina\20260526\pacs_glass_3.txt
Data Source:  Experiment
Instrument Model:  CHI920D
Header: 
Note: 

Probe E (V) = 0.4
Sensitivity (A/V) = 1e-9
End Current Ratio (%) = 25
Max Incr (um) = 1
Withdraw Dist (um) = 50
Quiet Time (sec) = 2

Distance/um, Current/A

68.900, -1.749e-9
69.900, -1.749e-9
70.900, -1.747e-9
71.900, -1.747e-9
72.900, -1.745e-9
73.900, -1.741e-9
74.900, -1.741e-9
75.900, -1.741e-9
76.900, -1.742e-9
77.900, -1.741e-9
78.900, -1.740e-9
79.900, -1.741e-9
80.900, -1.739e-9
81.900, -1.739e-9
82.900, -1.740e-9
83.900, -1.738e-9
84.900, -1.738e-9
85.900, -1.737e-9
86.900, -1.736e-9
87.900, -1.735e-9
88.900, -1.733e-9
89.900, -1.733e-9
90.900, -1.732e-9
91.900, -1.731e-9
92.900, -1.731e-9
93.900, -1.728e-9
94.900, -1.727e-9
95.900, -1.726e-9
96.900, -1.726e-9
97.900, -1.726e-9
98.900, -1.725e-9
99.900, -1.724e-9
100.900, -1.725e-9
101.900, -1.724e-9
102.900, -1.723e-9
103.900, -1.723e-9
104.900, -1.722e-9
105.900, -1.722e-9
106.900, -1.720e-9
107.900, -1.719e-9
108.900, -1.719e-9
109.900, -1.718e-9
110.900, -1.717e-9
111.900, -1.717e-9
112.900, -1.715e-9
113.900, -1.714e-9
114.900, -1.713e-9
115.900, -1.714e-9
116.900, -1.714e-9
117.900, -1.713e-9
118.900, -1.714e-9
119.900, -1.710e-9
120.900, -1.709e-9
121.900, -1.708e-9
122.900, -1.707e-9
123.900, -1.708e-9
124.900, -1.708e-9
125.900, -1.706e-9
126.900, -1.707e-9
127.900, -1.706e-9
128.900, -1.704e-9
129.900, -1.704e-9
130.900, -1.703e-9
131.900, -1.702e-9
132.900, -1.701e-9
133.900, -1.701e-9
134.900, -1.702e-9
135.900, -1.701e-9
136.900, -1.699e-9
137.900, -1.700e-9
138.900, -1.698e-9
139.900, -1.700e-9
140.900, -1.699e-9
141.900, -1.699e-9
142.900, -1.699e-9
143.900, -1.699e-9
144.900, -1.700e-9
145.900, -1.697e-9
146.900, -1.697e-9
147.900, -1.696e-9
148.900, -1.694e-9
149.900, -1.695e-9
150.900, -1.694e-9
151.900, -1.694e-9
152.900, -1.693e-9
153.900, -1.693e-9
154.900, -1.693e-9
155.900, -1.690e-9
156.900, -1.690e-9
157.900, -1.690e-9
158.900, -1.687e-9
159.900, -1.687e-9
160.900, -1.686e-9
161.900, -1.687e-9
162.900, -1.688e-9
163.900, -1.685e-9
164.900, -1.686e-9
165.900, -1.684e-9
166.900, -1.685e-9
167.900, -1.685e-9
168.900, -1.684e-9
169.900, -1.684e-9
170.900, -1.682e-9
171.900, -1.682e-9
172.900, -1.683e-9
173.900, -1.682e-9
174.900, -1.682e-9
175.900, -1.681e-9
176.900, -1.681e-9
177.900, -1.682e-9
178.900, -1.680e-9
179.900, -1.680e-9
180.900, -1.680e-9
181.900, -1.679e-9
182.900, -1.681e-9
183.900, -1.679e-9
184.900, -1.679e-9
185.900, -1.678e-9
186.900, -1.677e-9
187.900, -1.678e-9
188.900, -1.677e-9
189.900, -1.677e-9
190.900, -1.677e-9
191.900, -1.676e-9
192.900, -1.676e-9
193.900, -1.675e-9
194.900, -1.675e-9
195.900, -1.675e-9
196.900, -1.675e-9
197.900, -1.675e-9
198.900, -1.674e-9
199.900, -1.673e-9
200.900, -1.673e-9
201.900, -1.671e-9
202.900, -1.670e-9
203.900, -1.671e-9
204.900, -1.669e-9
205.900, -1.669e-9
206.900, -1.670e-9
207.900, -1.668e-9
208.900, -1.670e-9
209.900, -1.669e-9
210.900, -1.667e-9
211.900, -1.667e-9
212.900, -1.667e-9
213.900, -1.667e-9
214.900, -1.667e-9
215.900, -1.666e-9
216.900, -1.666e-9
217.900, -1.665e-9
218.900, -1.666e-9
219.900, -1.666e-9
220.900, -1.666e-9
221.900, -1.666e-9
222.900, -1.665e-9
223.900, -1.664e-9
224.900, -1.663e-9
225.900, -1.662e-9
226.900, -1.663e-9
227.900, -1.662e-9
228.900, -1.662e-9
229.900, -1.662e-9
230.900, -1.661e-9
231.900, -1.662e-9
232.900, -1.661e-9
233.900, -1.661e-9
234.900, -1.661e-9
235.900, -1.660e-9
236.900, -1.660e-9
237.900, -1.660e-9
238.900, -1.659e-9
239.900, -1.659e-9
240.900, -1.657e-9
241.900, -1.659e-9
242.900, -1.657e-9
243.900, -1.656e-9
244.900, -1.656e-9
245.900, -1.655e-9
246.900, -1.657e-9
247.900, -1.656e-9
248.900, -1.655e-9
249.900, -1.657e-9
250.900, -1.655e-9
251.900, -1.656e-9
252.900, -1.657e-9
253.900, -1.654e-9
254.900, -1.654e-9
255.900, -1.652e-9
256.900, -1.653e-9
257.900, -1.654e-9
258.900, -1.651e-9
259.900, -1.651e-9
260.900, -1.650e-9
261.900, -1.650e-9
262.900, -1.652e-9
263.900, -1.650e-9
264.900, -1.651e-9
265.900, -1.649e-9
266.900, -1.649e-9
267.900, -1.650e-9
268.900, -1.649e-9
269.900, -1.650e-9
270.900, -1.649e-9
271.900, -1.650e-9
272.900, -1.650e-9
273.900, -1.649e-9
274.900, -1.651e-9
275.900, -1.650e-9
276.900, -1.650e-9
277.900, -1.649e-9
278.900, -1.647e-9
279.900, -1.647e-9
280.900, -1.646e-9
281.900, -1.646e-9
282.900, -1.646e-9
283.900, -1.645e-9
284.900, -1.646e-9
285.900, -1.646e-9
286.900, -1.646e-9
287.900, -1.646e-9
288.900, -1.645e-9
