# Sensolytics: 3.12
# Line Scan
# Warning: the data-format is using a '.' as decimal sign. German Windows-systems may have problems with this...
# Experiment started: 5/8/2025 4:25:36 PM
# Stepper motors position: X 12,129.400 µm; Y 9,891.000 µm; Z 8,741.499 µm
# Piezo controller position: X 0.000 µm; Y 100.000 µm; Z 100.000 µm
# Potentiostat: ECD Off
# Potential WE1 at start [V]: 0.400
# Potential WE2 at start: OCP
# Controller: PCIe LStep Express
# Axis: ZAxis
# Direction: Negative
# Way [µm]: 5000
# Max. Speed [µm/s]: 1
# Increment [µm]: 0.5
# Waiting Time [ms]: 0
# Stop Condition: Manual
# Position abs. [µm], Position rel. [µm], I WE1 [A]
8841.499, 0.000, 3.79913330078125E-09
8840.999, -0.500, 3.8006591796875E-09
8840.499, -1.000, 3.80126953125E-09
8839.999, -1.500, 3.79791259765625E-09
8839.499, -2.000, 3.79974365234375E-09
8838.999, -2.500, 3.79791259765625E-09
8838.499, -3.000, 3.79791259765625E-09
8837.999, -3.500, 3.79791259765625E-09
8837.499, -4.000, 3.797607421875E-09
8836.999, -4.500, 3.79791259765625E-09
8836.499, -5.000, 3.797607421875E-09
8835.999, -5.500, 3.7994384765625E-09
8835.499, -6.000, 3.800048828125E-09
8834.999, -6.500, 3.798828125E-09
8834.499, -7.000, 3.79974365234375E-09
8833.999, -7.500, 3.79974365234375E-09
8833.499, -8.000, 3.8006591796875E-09
8832.999, -8.500, 3.800048828125E-09
8832.499, -9.000, 3.8031005859375E-09
8831.999, -9.500, 3.8031005859375E-09
8831.499, -10.000, 3.8031005859375E-09
8830.999, -10.500, 3.802490234375E-09
8830.499, -11.000, 3.8037109375E-09
8829.999, -11.500, 3.80096435546875E-09
8829.499, -12.000, 3.80126953125E-09
8828.999, -12.500, 3.8018798828125E-09
8828.499, -13.000, 3.8018798828125E-09
8827.999, -13.500, 3.80096435546875E-09
8827.499, -14.000, 3.798828125E-09
8826.999, -14.500, 3.79913330078125E-09
8826.499, -15.000, 3.79791259765625E-09
8825.999, -15.500, 3.795166015625E-09
8825.499, -16.000, 3.79302978515625E-09
8824.999, -16.500, 3.790283203125E-09
8824.499, -17.000, 3.7890625E-09
8823.999, -17.500, 3.78448486328125E-09
8823.499, -18.000, 3.78143310546875E-09
8822.999, -18.500, 3.778076171875E-09
8822.499, -19.000, 3.77410888671875E-09
8821.999, -19.500, 3.77288818359375E-09
8821.499, -20.000, 3.76861572265625E-09
8820.999, -20.500, 3.7640380859375E-09
8820.499, -21.000, 3.7603759765625E-09
8819.999, -21.500, 3.75579833984375E-09
8819.499, -22.000, 3.75213623046875E-09
8818.999, -22.500, 3.7493896484375E-09
8818.499, -23.000, 3.74664306640625E-09
8817.999, -23.500, 3.74481201171875E-09
8817.499, -24.000, 3.7432861328125E-09
8816.999, -24.500, 3.74267578125E-09
8816.499, -25.000, 3.74237060546875E-09
8815.999, -25.500, 3.74114990234375E-09
8815.499, -26.000, 3.7432861328125E-09
8814.999, -26.500, 3.74542236328125E-09
8814.499, -27.000, 3.74755859375E-09
8813.999, -27.500, 3.748779296875E-09
8813.499, -28.000, 3.75244140625E-09
8812.999, -28.500, 3.7548828125E-09
8812.499, -29.000, 3.75885009765625E-09
8811.999, -29.500, 3.7640380859375E-09
8811.499, -30.000, 3.7664794921875E-09
8810.999, -30.500, 3.77044677734375E-09
8810.499, -31.000, 3.77593994140625E-09
8809.999, -31.500, 3.780517578125E-09
8809.499, -32.000, 3.7847900390625E-09
8808.999, -32.500, 3.78814697265625E-09
8808.499, -33.000, 3.79241943359375E-09
8807.999, -33.500, 3.7969970703125E-09
8807.499, -34.000, 3.80096435546875E-09
8806.999, -34.500, 3.80706787109375E-09
8806.499, -35.000, 3.8079833984375E-09
8805.999, -35.500, 3.812255859375E-09
8805.499, -36.000, 3.81500244140625E-09
8804.999, -36.500, 3.81744384765625E-09
8804.499, -37.000, 3.82049560546875E-09
