# Sensolytics: 3.12
# Line Scan
# Warning: the data-format is using a '.' as decimal sign. German Windows-systems may have problems with this...
# Experiment started: 5/8/2025 3:32:24 PM
# Stepper motors position: X 14,129.400 µm; Y 9,891.000 µm; Z 8,887.499 µm
# Piezo controller position: X 0.000 µm; Y 100.000 µm; Z 100.000 µm
# Potentiostat: ECD Off
# Potential WE1 at start [V]: 0.400
# Potential WE2 at start: OCP
# Controller: PCIe LStep Express
# Axis: ZAxis
# Direction: Negative
# Way [µm]: 5000
# Max. Speed [µm/s]: 1
# Increment [µm]: 0.5
# Waiting Time [ms]: 0
# Stop Condition: Manual
# Position abs. [µm], Position rel. [µm], I WE1 [A]
8921.999, -65.500, 3.90594482421875E-09
8921.499, -66.000, 3.90716552734375E-09
8920.999, -66.500, 3.907470703125E-09
8920.499, -67.000, 3.9056396484375E-09
8919.999, -67.500, 3.90777587890625E-09
8919.499, -68.000, 3.90716552734375E-09
8918.999, -68.500, 3.90655517578125E-09
8918.499, -69.000, 3.90716552734375E-09
8917.999, -69.500, 3.9056396484375E-09
8917.499, -70.000, 3.90625E-09
8916.999, -70.500, 3.90777587890625E-09
8916.499, -71.000, 3.90869140625E-09
8915.999, -71.500, 3.90655517578125E-09
8915.499, -72.000, 3.9068603515625E-09
8914.999, -72.500, 3.90655517578125E-09
8914.499, -73.000, 3.90716552734375E-09
8913.999, -73.500, 3.90625E-09
8913.499, -74.000, 3.9068603515625E-09
8912.999, -74.500, 3.90716552734375E-09
8912.499, -75.000, 3.907470703125E-09
8911.999, -75.500, 3.90655517578125E-09
8911.499, -76.000, 3.90716552734375E-09
8910.999, -76.500, 3.9080810546875E-09
8910.499, -77.000, 3.90716552734375E-09
8909.999, -77.500, 3.90655517578125E-09
8909.499, -78.000, 3.9068603515625E-09
8908.999, -78.500, 3.9068603515625E-09
8908.499, -79.000, 3.90350341796875E-09
8907.999, -79.500, 3.90380859375E-09
8907.499, -80.000, 3.90533447265625E-09
8906.999, -80.500, 3.90594482421875E-09
8906.499, -81.000, 3.90625E-09
8905.999, -81.500, 3.90533447265625E-09
8905.499, -82.000, 3.90533447265625E-09
8904.999, -82.500, 3.9056396484375E-09
8904.499, -83.000, 3.90625E-09
8903.999, -83.500, 3.90594482421875E-09
8903.499, -84.000, 3.905029296875E-09
8902.999, -84.500, 3.905029296875E-09
8902.499, -85.000, 3.905029296875E-09
8901.999, -85.500, 3.9056396484375E-09
8901.499, -86.000, 3.9056396484375E-09
8900.999, -86.500, 3.905029296875E-09
8900.499, -87.000, 3.905029296875E-09
8899.999, -87.500, 3.90594482421875E-09
8899.499, -88.000, 3.9056396484375E-09
8898.999, -88.500, 3.9044189453125E-09
8898.499, -89.000, 3.9044189453125E-09
8897.999, -89.500, 3.90594482421875E-09
8897.499, -90.000, 3.90533447265625E-09
8896.999, -90.500, 3.90472412109375E-09
8896.499, -91.000, 3.9044189453125E-09
8895.999, -91.500, 3.90411376953125E-09
8895.499, -92.000, 3.90472412109375E-09
8894.999, -92.500, 3.90411376953125E-09
8894.499, -93.000, 3.905029296875E-09
8893.999, -93.500, 3.90411376953125E-09
8893.499, -94.000, 3.9044189453125E-09
8892.999, -94.500, 3.90411376953125E-09
8892.499, -95.000, 3.9031982421875E-09
8891.999, -95.500, 3.90411376953125E-09
8891.499, -96.000, 3.9044189453125E-09
8890.999, -96.500, 3.90350341796875E-09
8890.499, -97.000, 3.9031982421875E-09
8889.999, -97.500, 3.90380859375E-09
8889.499, -98.000, 3.90289306640625E-09
8888.999, -98.500, 3.9031982421875E-09
8888.499, -99.000, 3.9031982421875E-09
8887.999, -99.500, 3.9031982421875E-09
8887.499, -100.000, 3.9031982421875E-09
8886.999, -100.500, 3.902587890625E-09
8886.499, -101.000, 3.90411376953125E-09
8885.999, -101.500, 3.90289306640625E-09
8885.499, -102.000, 3.9019775390625E-09
8884.999, -102.500, 3.902587890625E-09
8884.499, -103.000, 3.9031982421875E-09
8883.999, -103.500, 3.90167236328125E-09
8883.499, -104.000, 3.900146484375E-09
8882.999, -104.500, 3.89862060546875E-09
8882.499, -105.000, 3.89923095703125E-09
8881.999, -105.500, 3.9007568359375E-09
8881.499, -106.000, 3.90045166015625E-09
