# Sensolytics: 3.12
# Line Scan
# Warning: the data-format is using a '.' as decimal sign. German Windows-systems may have problems with this...
# Experiment started: 5/8/2025 4:15:28 PM
# Stepper motors position: X 12,629.400 µm; Y 9,891.000 µm; Z 8,246.999 µm
# Piezo controller position: X 0.000 µm; Y 100.000 µm; Z 100.000 µm
# Potentiostat: ECD Off
# Potential WE1 at start [V]: 0.400
# Potential WE2 at start: OCP
# Controller: PCIe LStep Express
# Axis: ZAxis
# Direction: Negative
# Way [µm]: 5000
# Max. Speed [µm/s]: 1
# Increment [µm]: 0.5
# Waiting Time [ms]: 0
# Stop Condition: Manual
# Position abs. [µm], Position rel. [µm], I WE1 [A]
8346.999, 0.000, 3.85528564453125E-09
8346.499, -0.500, 3.8482666015625E-09
8345.999, -1.000, 3.84490966796875E-09
8345.499, -1.500, 3.83697509765625E-09
8344.999, -2.000, 3.83636474609375E-09
8344.499, -2.500, 3.829345703125E-09
8343.999, -3.000, 3.82568359375E-09
8343.499, -3.500, 3.8232421875E-09
8342.999, -4.000, 3.819580078125E-09
8342.499, -4.500, 3.8165283203125E-09
8341.999, -5.000, 3.814697265625E-09
8341.499, -5.500, 3.8116455078125E-09
8340.999, -6.000, 3.81072998046875E-09
8340.499, -6.500, 3.8079833984375E-09
8339.999, -7.000, 3.80615234375E-09
8339.499, -7.500, 3.80523681640625E-09
8338.999, -8.000, 3.802490234375E-09
8338.499, -8.500, 3.80096435546875E-09
8337.999, -9.000, 3.800048828125E-09
8337.499, -9.500, 3.79913330078125E-09
8336.999, -10.000, 3.79669189453125E-09
8336.499, -10.500, 3.79730224609375E-09
8335.999, -11.000, 3.7945556640625E-09
8335.499, -11.500, 3.792724609375E-09
8334.999, -12.000, 3.7921142578125E-09
8334.499, -12.500, 3.7921142578125E-09
8333.999, -13.000, 3.79058837890625E-09
8333.499, -13.500, 3.7896728515625E-09
8332.999, -14.000, 3.78875732421875E-09
8332.499, -14.500, 3.78814697265625E-09
8331.999, -15.000, 3.78662109375E-09
8331.499, -15.500, 3.787841796875E-09
8330.999, -16.000, 3.78662109375E-09
8330.499, -16.500, 3.7860107421875E-09
8329.999, -17.000, 3.78448486328125E-09
8329.499, -17.500, 3.7841796875E-09
8328.999, -18.000, 3.78448486328125E-09
8328.499, -18.500, 3.78326416015625E-09
8327.999, -19.000, 3.78326416015625E-09
8327.499, -19.500, 3.78265380859375E-09
8326.999, -20.000, 3.78173828125E-09
8326.499, -20.500, 3.78082275390625E-09
8325.999, -21.000, 3.78326416015625E-09
8325.499, -21.500, 3.78143310546875E-09
8324.999, -22.000, 3.78143310546875E-09
8324.499, -22.500, 3.78021240234375E-09
8323.999, -23.000, 3.77960205078125E-09
8323.499, -23.500, 3.780517578125E-09
8322.999, -24.000, 3.780517578125E-09
8322.499, -24.500, 3.77899169921875E-09
8321.999, -25.000, 3.7786865234375E-09
8321.499, -25.500, 3.778076171875E-09
8320.999, -26.000, 3.77838134765625E-09
8320.499, -26.500, 3.77960205078125E-09
8319.999, -27.000, 3.7786865234375E-09
8319.499, -27.500, 3.77777099609375E-09
8318.999, -28.000, 3.77838134765625E-09
8318.499, -28.500, 3.779296875E-09
8317.999, -29.000, 3.77685546875E-09
8317.499, -29.500, 3.7774658203125E-09
8316.999, -30.000, 3.778076171875E-09
8316.499, -30.500, 3.77716064453125E-09
8315.999, -31.000, 3.77655029296875E-09
8315.499, -31.500, 3.77593994140625E-09
8314.999, -32.000, 3.77593994140625E-09
